INFO:root:EL 2020-04-06 1882100 1890000 2209200 1822200 1888700
INFO:root:EL 2020-08-24 851700 905700 964200 1296400 4320600
INFO:root:EL 2022-11-04 1237200 2050600 2636500 3042900 7665000
INFO:root:ELV 2022-07-15 857400 751400 629500 801600 802200
INFO:root:EMN 2020-06-11 1051700 1302400 1899800 1174000 1487800
INFO:root:EMN 2022-09-13 831200 1086300 941400 1644000 873300
INFO:root:EMR 2020-06-11 2987700 2606600 4348300 3853700 3094800
INFO:root:ENPH 2021-04-28 2697500 2599600 3779700 2287500 2471200
INFO:root:ENPH 2024-04-05 4947100 2968700 2084200 2504200 2917400
INFO:root:EOG 2020-08-07 3226500 2885500 4004500 5754300 5052800
INFO:root:EOG 2020-11-30 4186700 3497200 6339600 10364300 7565600
INFO:root:EOG 2022-09-09 3538100 2685500 2355800 2395900 3785500
INFO:root:EPAM 2024-01-04 182200 203400 226800 228700 430700
INFO:root:EPAM 2024-02-15 424100 628000 640900 812800 525500
INFO:root:EQR 2020-05-18 2169300 2387200 3823600 3524500 3291300
INFO:root:EQR 2020-06-11 6278700 3720700 4172300 3252400 2145300
INFO:root:EQR 2020-11-03 2212200 2135500 6954800 4435500 2926500
INFO:root:ESS 2020-06-11 379900 397700 759500 698700 432500
INFO:root:ETN 2024-11-06 1843200 2258200 3870600 2369100 1943300
INFO:root:EW 2022-07-29 2569400 2535000 2182800 1981400 2557300
INFO:root:EXPE 2020-02-24 3732300 10382900 3219000 3216900 2184400
INFO:root:EXPE 2020-04-22 4060400 3814700 5386200 4584200 4036800
INFO:root:EXPE 2020-04-30 5621700 8139300 4397800 4027300 3837500
INFO:root:EXPE 2022-09-13 1564100 2115000 2040500 1675100 2188400
INFO:root:EXPE 2024-08-09 2711200 3051100 3321200 2952200 3040200
INFO:root:EXR 2023-04-03 681700 690700 511300 653700 668900
INFO:root:F 2020-06-11 98876600 115798600 208648200 113169300 115749600
INFO:root:F 2022-10-10 71688200 66198300 87629200 87919100 64531900
INFO:root:FANG 2020-06-11 2014500 1697800 4400900 4506800 4396800
INFO:root:FANG 2021-08-23 1786600 2563800 1906700 1633800 4156600
INFO:root:FANG 2021-09-20 1385400 2117300 1936600 3566300 1994800
INFO:root:FANG 2021-12-21 2011900 2764200 3691000 2641200 5014400
INFO:root:FANG 2022-09-16 1653600 1732300 2061400 1939500 2149300
INFO:root:FANG 2023-03-21 2957300 2618600 5858600 3899100 6217600
INFO:root:FCX 2020-04-17 26970700 35022100 22290100 21245200 24947800
INFO:root:FCX 2021-07-09 12448900 13946100 10221500 18992900 14745200
INFO:root:FCX 2021-08-23 12872600 13430700 23492800 18157900 32408600
INFO:root:FCX 2022-07-11 21029200 22967500 35842200 35581200 24755700
INFO:root:FCX 2023-03-20 18172000 18949400 17198000 26465400 25292000
INFO:root:FCX 2023-05-26 9791600 8718700 6280800 11101800 17677500
INFO:root:FCX 2023-09-06 8445700 9229100 6655900 8605100 10983100
INFO:root:FCX 2024-02-20 15822200 12932600 14272300 9269200 10171000
INFO:root:FCX 2024-09-30 16304200 15471600 26361600 12454800 32403100
INFO:root:FCX 2024-11-08 9481400 7733200 9147800 5991500 12911700
INFO:root:FDX 2020-06-11 2728800 2001300 3583900 2709900 2253100
INFO:root:FDX 2020-09-21 4865200 6583700 9847300 17073300 4254300
INFO:root:FDX 2022-06-14 1562900 1115100 1556300 1846500 2263300
INFO:root:FE 2022-04-22 2347000 2745500 2022000 2815800 3605700
INFO:root:FFIV 2020-05-01 889600 843800 1392300 4579400 1561300
INFO:root:FI 2020-04-21 3721400 6404900 6378200 4143500 4171900
INFO:root:FIS 2020-04-06 3940600 3758400 8623600 5207300 3565700
INFO:root:FITB 2020-11-04 4164800 5165900 3707800 6116400 4727500
INFO:root:FITB 2022-11-17 3824000 7301800 7378200 5523300 5360700
INFO:root:FITB 2023-05-05 5741400 6456700 7371400 12006600 8887800
INFO:root:FMC 2021-02-10 938900 993800 823700 808500 621100
