Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
NEE,.SPX,1,46.2,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
NEM,.SPX,2,-102.54,0,0,FALSE,FALSE,FALSE,FALSE,0
NKE,.SPX.DJI,4,189.69,50,2.128,FALSE,FALSE,FALSE,FALSE,0
NOW,.SPX,2,-98.24,0,0,FALSE,FALSE,FALSE,FALSE,0
NRG,.SPX,1,-104.5,0,0,FALSE,FALSE,FALSE,FALSE,0
NSC,.SPX,1,-37.36,0,0,FALSE,FALSE,FALSE,FALSE,0
NTAP,.SPX,1,60.06,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
NTRS,.SPX,2,178.26,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
NUE,.SPX,4,120.02,50,2.64,FALSE,FALSE,FALSE,FALSE,0
NVDA,.NDX.SPX.DJI,5,385.88,80,64.524,FALSE,FALSE,FALSE,FALSE,0
NWS,.SPX,2,92.28,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
NXPI,.NDX.SPX,2,26.08,50,1.326,FALSE,FALSE,FALSE,FALSE,0
O,.SPX,2,-25.92,50,0.615,FALSE,FALSE,FALSE,FALSE,0
OKE,.SPX,3,245.89,66.667,7.752,FALSE,FALSE,FALSE,FALSE,0
OMC,.SPX,2,73.28,50,4.519,FALSE,FALSE,FALSE,FALSE,0
ON,.NDX.SPX,2,31.86,50,4.912,FALSE,FALSE,FALSE,FALSE,0
ORCL,.SPX,3,147.04,66.667,8.934,FALSE,FALSE,FALSE,FALSE,0
OXY,.SPX,3,139.4,66.667,1.63,FALSE,FALSE,FALSE,FALSE,0
PANW,.NDX.SPX,3,-80.03,33.333,0.36,FALSE,FALSE,FALSE,FALSE,0
PARA,.SPX,2,-6.26,50,1.729,FALSE,FALSE,FALSE,FALSE,0
PAYC,.SPX,1,-72.51,0,0,FALSE,FALSE,FALSE,FALSE,0
PCAR,.NDX.SPX,2,-176.25,0,0,FALSE,FALSE,FALSE,FALSE,0
PDD,.NDX,9,113.47,44.444,1.62,FALSE,FALSE,FALSE,FALSE,0
PFG,.SPX,2,-109.1,0,0,FALSE,FALSE,FALSE,FALSE,0
PH,.SPX,1,27.28,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
PHM,.SPX,3,256.31,66.667,17.649,FALSE,FALSE,FALSE,FALSE,0
PKG,.SPX,1,-24.42,0,0,FALSE,FALSE,FALSE,FALSE,0
PLTR,.NDX.SPX,5,89.76,60,1.498,FALSE,FALSE,FALSE,FALSE,0
PNC,.SPX,1,-77.4,0,0,FALSE,FALSE,FALSE,FALSE,0
PNR,.SPX,1,90,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
PPG,.SPX,1,79.8,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
PPL,.SPX,1,167.69,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
PRU,.SPX,3,174.58,66.667,2.156,FALSE,FALSE,FALSE,FALSE,0
PSA,.SPX,1,46.36,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
PTC,.SPX,1,-57.76,0,0,FALSE,FALSE,FALSE,FALSE,0
PYPL,.NDX.SPX,3,246.24,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
QQQ,ETF,1,17.5,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
RCL,.SPX,3,-191.64,33.333,0.809,FALSE,FALSE,FALSE,FALSE,0
REG,.SPX,1,132.96,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
RF,.SPX,1,-89.38,0,0,FALSE,FALSE,FALSE,FALSE,0
RJF,.SPX,2,21.92,50,1.56,FALSE,FALSE,FALSE,FALSE,0
RMD,.SPX,1,30.52,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
ROK,.SPX,2,-9.12,50,0.958,FALSE,FALSE,FALSE,FALSE,0
ROL,.SPX,1,147.28,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
RTX,.SPX,1,-25.5,0,0,FALSE,FALSE,FALSE,FALSE,0
RVTY,.SPX,1,-44,0,0,FALSE,FALSE,FALSE,FALSE,0
SBAC,.SPX,1,73.32,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
SBUX,.NDX.SPX,3,100.5,66.667,2.689,FALSE,FALSE,FALSE,FALSE,0
SLB,.SPX,3,151.44,66.667,1.543,FALSE,FALSE,FALSE,FALSE,0
SMCI,.SPX,3,301.52,66.667,0.977,FALSE,FALSE,FALSE,FALSE,0
SNA,.SPX,2,-160.56,0,0,FALSE,FALSE,FALSE,FALSE,0
SNPS,.NDX.SPX,1,20.98,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
SPG,.SPX,2,-102.98,0,0,FALSE,FALSE,FALSE,FALSE,0
STLD,.SPX,2,-166.85,0,0,FALSE,FALSE,FALSE,FALSE,0
STT,.SPX,4,128.66,75,2.876,FALSE,FALSE,FALSE,FALSE,0
STX,.SPX,6,41.22,66.667,1.036,FALSE,FALSE,FALSE,FALSE,0
STZ,.SPX,1,-60.24,0,0,FALSE,FALSE,FALSE,FALSE,0
SWK,.SPX,4,222.56,75,10.793,FALSE,FALSE,FALSE,FALSE,0
SWKS,.SPX,3,85.7,66.667,2.295,FALSE,FALSE,FALSE,FALSE,0
SYF,.SPX,3,48.69,33.333,1.255,FALSE,FALSE,FALSE,FALSE,0
SYK,.SPX,1,83.82,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
SYY,.SPX,2,346.85,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
T,.SPX,3,-26.07,33.333,0.775,FALSE,FALSE,FALSE,FALSE,0
TDG,.SPX,2,-68.03,0,0,FALSE,FALSE,FALSE,FALSE,0
TEAM,.NDX,2,-157.83,0,0,FALSE,FALSE,FALSE,FALSE,0
TEL,.SPX,3,42.92,33.333,1.602,FALSE,FALSE,FALSE,FALSE,0
TER,.SPX,1,-44.16,0,0,FALSE,FALSE,FALSE,FALSE,0
TFC,.SPX,3,-152.39,0,0,FALSE,FALSE,FALSE,FALSE,0
TFX,.SPX,1,38.45,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
TJX,.SPX,2,58.41,50,1.481,FALSE,FALSE,FALSE,FALSE,0
TPL,.SPX,1,-110.05,0,0,FALSE,FALSE,FALSE,FALSE,0
TPR,.SPX,3,-172.14,0,0,FALSE,FALSE,FALSE,FALSE,0
TRGP,.SPX,2,-81.46,50,1.012,FALSE,FALSE,FALSE,FALSE,0
TRMB,.SPX,2,115.62,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
TROW,.SPX,4,84.01,50,2.453,FALSE,FALSE,FALSE,FALSE,0
TRV,.SPX.DJI,1,-89.55,0,0,FALSE,FALSE,FALSE,FALSE,0
TSCO,.SPX,1,-97.72,0,0,FALSE,FALSE,FALSE,FALSE,0
TSLA,.NDX.SPX,3,362.9,100,#NAME?,FALSE,FALSE,FALSE,FALSE,0
